Employee_ID,Full_Name,Role,Department,Shift,Leave_Balance,Manager,Employment_Type,Email,Location
E001,Dr. Aditi Sharma,Doctor,Cardiology,Morning,10,Dr. R. Verma,Full-time,aditi.sharma@hospital.com,Mumbai
E002,Nurse Priya Nair,Nurse,ICU,Night,15,Dr. R. Verma,Full-time,priya.nair@hospital.com,Mumbai
E003,Dr. Rohit Mehta,Doctor,Neurology,Morning,10,Dr. S. Dutta,Full-time,rohit.mehta@hospital.com,Delhi
E004,Dr. Sneha Rao,Doctor,Orthopedics,Evening,5,Dr. K. Patel,Part-time,sneha.rao@hospital.com,Pune
E005,Nurse Kiran Das,Nurse,Emergency,Morning,9,Dr. A. Sharma,Full-time,kiran.das@hospital.com,Delhi
E006,Technician Ramesh Iyer,Lab Technician,Pathology,Night,11,Dr. N. Singh,Full-time,ramesh.iyer@hospital.com,Chennai
E007,Admin Meenal Joshi,Admin,HR,Morning,14,Ms. T. Kapoor,Full-time,meenal.joshi@hospital.com,Delhi
E008,Nurse Jyoti Menon,Nurse,Pediatrics,Evening,6,Dr. A. Sharma,Full-time,jyoti.menon@hospital.com,Mumbai
E009,Dr. Rajiv Bhatia,Doctor,Dermatology,Morning,7,Dr. N. Singh,Full-time,rajiv.bhatia@hospital.com,Delhi
E010,Nurse Kavita Shah,Nurse,Maternity,Morning,10,Dr. P. Reddy,Full-time,kavita.shah@hospital.com,Pune
E011,Technician Suresh Rao,Lab Technician,Imaging,Morning,8,Dr. P. Reddy,Full-time,suresh.rao@hospital.com,Hyderabad
E012,Dr. Anjali Jain,Doctor,Oncology,Evening,6,Dr. R. Verma,Full-time,anjali.jain@hospital.com,Delhi
E013,Admin Rahul Gupta,Admin,Finance,Morning,16,Mr. S. Tiwari,Full-time,rahul.gupta@hospital.com,Mumbai
E014,Nurse Sneha Kulkarni,Nurse,ICU,Night,6,Dr. R. Verma,Full-time,sneha.kulkarni@hospital.com,Pune
E015,Dr. Nikhil Taneja,Doctor,Cardiology,Morning,8,Dr. R. Verma,Full-time,nikhil.taneja@hospital.com,Mumbai
